id,skill,skill_alias
207,Firstlogic, 
208,Flash,Flash8; MacromediaFlash; Adobe FlashCS3;
209,Flat File,FlatFile;
210,Flex, 
211,fndload, 
212,Forms 10g,Forms10g;
213,Forms 6i,Forms6i;
214,Forms 9i,Forms9i;
215,Fortran, 
216,Foxbase, 
217,Foxpro,Fox pro;
218,Freehand,Free hand;
219,Frontpage,Front Page; MSFrontPage; MSFront page; MicrosoftFrontpage; MicrosoftFront Page;
220,FTP, 
221,Functional Testing,Functional Test;
222,gdb,GDB-DDD;
223,GIS,Geographic Information System;
224,GNU, 
225,Graphics, 
226,GRASS, 
227,GSM, 
228,GUI,Graphical User Interface; Graphical UserInterface;
229,gvSIG, 
230,HACMP, 
231,HAL,Hyperion Application Link;
232,HIBERNATE,Hybernate;
233,HP-UX Admin,HP-UX Administrator; HP-UX Administration; HP UX Admin; HP UX Administration; HP UX Adminstrator;
234,HP-UX,HP-UNIX; HP UNIX; Hewlett Packard UniX; HP/UX;
235,HRDW,HR datawarehouse; HR Dataware housing;
236,HTML,Hypertext Markup Language; Hyper Text Markup Language;
237,HTTP,Hyper Text Transfer Protocol; HyperText Transfer Protocol;
238,HTTPS, 
239,Hyperion Dashboard Builder, 
240,Hyperion iServer, 
241,Hyperion Planning, 
242,Hyperion Reports, 
243,Hyperion server, 
244,Hyperion SQR,Hyperion SQR8.3; Hyperion Structured Query Reporter;
245,Hyperion,Hyperion9i; Hyperion 9i;
246,IAD, 
247,IAM,Identity and Access Management;
248,Ibatis, 
249,IDE,Integrated Development Environment;
250,IDM,Security Identity Management; Security IdentityManagement;
251,IDMS,Integrated Database Management System;
252,Idoc, 
253,iExpense, 
254,IIS,Internet Information Server; InternetInformationServer; Internet InformationServer;
255,Illustrator,IllustratorCS2; IllustratorCS3;
256,Imageready,Image ready;
257,IMAP,Internet Message Access Protocol; IMAP4;IMAP4rev1;
258,Impromptu,CognosImpromptu;
259,IMS,IMS DB/DC; IMS/DB; IMS/DC;
260,Indesign, 
261,Informatica PowerCenter,Informatica Power Center;Informatica Power Center 8.1; Informatica Power Center 7.1;
262,Informatica PowerConnect,Informatica Power Connect;
263,Informatica,Informatica7.x; Informatica6.x; Informatica8.x;
264,informix dba,informix database administrator; informix database administration; informix data base administrator; informix data base administration;
265,informix, 
266,Ingres, 
267,Integration Broker,IntegrationBroker;
268,Integration Testing,IntegrationTesting;
269,intel,intel x86;
270,Interbase, 
271,iPlanet, 
272,ISDN, 
273,ISPF,TSO/ISPF; Time Sharing Option/ISPF;
274,isqlplus, 
275,ITDS,IBM Tivoli Directory Server;
276,J2EE,Java 2 Platform Enterprise Edition application; Java 2 Platform Enterprise Edition;
277,JAVA,corejava; sunjava;
278,Javascript,Java Script;
279,JAXB,Java Architecture for XML Binding;
280,JAX-RPC,JAX RPC;
281,JAX-WS, 
282,Jboss,Jboss Application Server; JBoss AS;
283,Jbuilder, 
284,JCL,JCLs; Job Control Language;
285,JD Edwards,JDEdwards;JD.Edwards;
286,JDBC,Java Database Connectivity; JDBC3.0; JDBC2.0;
287,Jdeveloper, 
288,JDK,java development kit; jdk1.0; jdk1.3; jdk1.2;
289,Jmeter, 
290,JMS,Java Message Service; Java Message Services; Java MessageService; Java MessageServices;
291,JNDI,Java Naming Directory Interface; Java Naming and Directory Interface;
292,JSF,JavaServer Faces; javaserverfaces; javaserver face; Java Server Faces;
293,JSON,JavaScript Object Notation;
294,JSP,Java Server Pages; Javaserverpages;JavaServer Pages;
295,JUMP GIS,JUMP Geographic Information System;
296,Junit, 
297,JVM,java virtual machine; Java VirtualMachine;
298,Korn Shell,ksh; KornShell; Korn-Shell;
299,LAN,Local Area Network;
300,Lawson, 
301,LDAP, 
302,Linux Admin,Linux Administration; Linux Administrator; Linux System Admin; Linux System Administrator;
303,Linux Internals, 
304,Linux Kernel, 
305,Linux Shell,Linux Shell Programming;
306,SAP AR, 
307,Telecomm Engineer,Tele Comm Engineer; Telecom Engineer;
